ResultAI Won
AI Won
AI Won
AI Won
Draw
Draw
Draw
Draw
Draw
AI Won
AI Won
Draw
Draw
Draw
Draw
Draw
Player Won
Draw
Draw
Draw
Draw
Draw
AI Won
Draw
Draw
Draw
Draw
Draw
Draw
Draw
AI Won
Player Won
AI Won
AI Won
Draw
Draw
Draw
AI Won
